time (day)	h (ft)
5.836805567	2.033121
5.840277789	2.039582
5.843750012	2.035364
5.847222234	2.038857
5.850694456	2.042175
5.854166678	2.044327
5.8576389	2.04517
5.861111123	2.050506
5.864583345	2.047418
5.868055567	2.050612
5.871527789	2.052731
5.875000012	2.05761
5.878472234	2.055224
5.881944456	2.056136
5.885416678	2.061982
5.8888889	2.055791
5.892361123	2.062945
5.895833345	2.064572
5.899305567	2.067909
5.902777789	2.069188
5.906250012	2.07398
5.909722234	2.070316
5.913194456	2.074589
5.916666678	2.074372
5.9201389	2.077514
5.923611123	2.07411
5.927083345	2.079511
5.930555567	2.080907
5.934027789	2.074993
5.937500012	2.0823
5.940972234	2.089294
5.944444456	2.083214
5.947916678	2.086699
5.9513889	2.088334
5.954861123	2.090247
5.958333345	2.091435
5.961805567	2.094688
5.965277789	2.093846
5.968750012	2.097259
5.972222234	2.102015
5.975694456	2.100432
5.979166678	2.10048
5.9826389	2.103876
5.986111123	2.105464
5.989583345	2.106595
5.993055567	2.103609
5.996527789	2.113499
6.000000012	2.11211
6.003472234	2.120081
6.006944456	2.112429
6.010416678	2.122529
6.0138889	2.115638
6.017361123	2.120322
6.020833345	2.12314
6.024305567	2.118067
6.027777789	2.12808
6.031250012	2.126976
6.034722234	2.128153
6.038194456	2.130102
6.041666678	2.133773
6.0451389	2.132332
6.048611123	2.131765
6.052083345	2.135051
6.055555567	2.13452
6.059027789	2.134829
6.062500012	2.134782
6.065972234	2.135813
6.069444456	2.142138
6.072916678	2.140956
6.0763889	2.145291
6.079861123	2.150578
6.083333345	2.149718
6.086805567	2.150809
6.090277789	2.151926
6.093750012	2.152595
6.097222234	2.155942
6.100694456	2.157228
6.104166678	2.162026
6.1076389	2.157134
6.111111123	2.164102
6.114583345	2.161457
6.118055567	2.166112
6.121527789	2.166901
6.125000012	2.169143
6.128472234	2.172748
6.131944456	2.172102
6.135416678	2.173566
6.1388889	2.173354
6.142361123	2.177317
6.145833345	2.175777
6.149305567	2.183618
6.152777789	2.181921
6.156250012	2.183211
6.159722234	2.185915
6.163194456	2.19108
6.166666678	2.188224
6.1701389	2.187287
6.173611123	2.191046
6.177083345	2.194115
6.180555567	2.192848
6.184027789	2.196753
6.187500012	2.19979
6.190972234	2.198039
6.194444456	2.201804
6.197916678	2.204348
6.2013889	2.206801
6.204861123	2.208939
6.208333345	2.209048
6.211805567	2.211639
6.215277789	2.208978
6.218750012	2.214569
6.222222234	2.218955
6.225694456	2.213994
6.229166678	2.222337
6.2326389	2.220036
6.236111123	2.2212
6.239583345	2.225142
6.243055567	2.225358
6.246527789	2.22709
6.250000012	2.233812
6.253472234	2.232376
6.256944456	2.236099
6.260416678	2.242149
6.2638889	2.240698
6.267361123	2.245813
6.270833345	2.249171
6.274305567	2.250156
6.277777789	2.253695
6.281250012	2.256603
6.284722234	2.255812
6.288194456	2.26063
6.291666678	2.261816
6.2951389	2.266981
6.298611123	2.272706
6.302083345	2.274606
6.305555567	2.276548
6.309027789	2.280736
6.312500012	2.283871
6.315972234	2.288835
6.319444456	2.283545
6.322916678	2.291961
6.3263889	2.295545
6.329861123	2.296975
6.333333345	2.299234
6.336805567	2.306268
6.340277789	2.305732
6.343750012	2.31169
6.347222234	2.316177
6.350694456	2.318308
6.354166678	2.321594
6.3576389	2.322473
6.361111123	2.323251
6.364583345	2.328591
6.368055567	2.331685
6.371527789	2.331107
6.375000012	2.334901
6.378472234	2.340893
6.381944456	2.342611
6.385416678	2.346476
6.3888889	2.345049
6.392361123	2.347051
6.395833345	2.354728
6.399305567	2.35703
6.402777789	2.357002
6.406250012	2.36106
6.409722234	2.365922
6.413194456	2.367166
6.416666678	2.368146
6.4201389	2.370933
6.423611123	2.371514
6.427083345	2.372021
6.430555567	2.379915
6.434027789	2.378002
6.437500012	2.380243
6.440972234	2.385028
6.444444456	2.383295
6.447916678	2.393331
6.4513889	2.391471
6.454861123	2.393181
6.458333345	2.394619
6.461805567	2.398435
6.465277789	2.396291
6.468750012	2.399588
6.472222234	2.406832
6.475694456	2.405414
6.479166678	2.403343
6.4826389	2.404075
6.486111123	2.40495
6.489583345	2.409376
6.493055567	2.412781
6.496527789	2.411839
6.500000012	2.412128
6.503472234	2.411486
6.506944456	2.412484
6.510416678	2.40928
6.5138889	2.41095
6.517361123	2.414486
6.520833345	2.413059
6.524305567	2.414268
6.527777789	2.415625
6.531250012	2.415066
6.534722234	2.414358
6.538194456	2.415728
6.541666678	2.419379
6.5451389	2.414818
6.548611123	2.415828
6.552083345	2.419415
6.555555567	2.414082
6.559027789	2.415089
6.562500012	2.416156
6.565972234	2.42126
6.569444456	2.413162
6.572916678	2.420629
6.5763889	2.415796
6.579861123	2.415733
6.583333345	2.416229
6.586805567	2.415516
6.590277789	2.414863
6.593750012	2.414416
6.597222234	2.41649
